AccountKey,AccountID,CustomerKey,ProductKey,AccountCategory,OpenDate,Status,OpeningBalance,HomeBranchKey
38,ACCT00000038,16,2,Deposit,2015-07-19,Active,3346.64,3
39,ACCT00000039,16,1,Deposit,2015-11-23,Active,6025.43,3
40,ACCT00000040,17,4,Deposit,2016-12-24,Active,10021.98,18
41,ACCT00000041,17,5,Deposit,2016-06-09,Active,43873.42,18
42,ACCT00000042,17,3,Deposit,2016-06-23,Active,923.47,18
43,ACCT00000043,17,7,Lending,2016-04-16,Active,7935.55,18
44,ACCT00000044,18,3,Deposit,2018-12-16,Active,2030.34,37
45,ACCT00000045,18,6,Lending,2018-12-08,Active,6157.08,37
46,ACCT00000046,19,2,Deposit,2022-02-09,Active,11103.15,27
47,ACCT00000047,19,8,Lending,2022-03-18,Active,101833.59,27
48,ACCT00000048,20,5,Deposit,2016-01-27,Active,1554.5,28
49,ACCT00000049,20,7,Lending,2016-06-06,Active,34756.93,28
50,ACCT00000050,21,1,Deposit,2021-11-21,Active,654.78,4
51,ACCT00000051,21,1,Deposit,2021-11-01,Active,2128.91,4
52,ACCT00000052,21,7,Lending,2021-10-10,Active,92869.2,4
53,ACCT00000053,22,4,Deposit,2015-04-06,Active,4689.37,22
54,ACCT00000054,22,3,Deposit,2015-06-26,Active,8344.48,22
55,ACCT00000055,22,1,Deposit,2015-12-27,Active,5388.49,22
56,ACCT00000056,23,4,Deposit,2018-05-09,Active,9817.07,35
57,ACCT00000057,23,3,Deposit,2018-01-03,Active,4014.15,35
58,ACCT00000058,23,1,Deposit,2018-05-18,Active,3978.5,35
59,ACCT00000059,23,5,Deposit,2018-10-17,Dormant,11330.5,35
60,ACCT00000060,24,5,Deposit,2017-02-11,Active,2205.39,18
61,ACCT00000061,24,3,Deposit,2017-04-24,Active,925.49,18
62,ACCT00000062,25,1,Deposit,2018-12-22,Active,33029.85,36
63,ACCT00000063,25,5,Deposit,2018-03-08,Active,1200.14,36
64,ACCT00000064,25,3,Deposit,2018-02-17,Active,4417.74,36
65,ACCT00000065,25,6,Lending,2018-06-05,Active,3553.91,36
66,ACCT00000066,26,1,Deposit,2015-09-27,Active,1399.61,1
67,ACCT00000067,26,1,Deposit,2015-08-12,Active,50097.83,1
68,ACCT00000068,26,5,Deposit,2015-02-26,Dormant,13361.3,1
69,ACCT00000069,27,2,Deposit,2018-05-23,Active,678.4,32
70,ACCT00000070,27,1,Deposit,2018-01-05,Active,7971.41,32
71,ACCT00000071,27,8,Lending,2018-10-07,Active,46712.79,32
72,ACCT00000072,28,5,Deposit,2018-12-26,Active,2598.27,11
73,ACCT00000073,28,2,Deposit,2018-01-02,Active,8527.33,11
74,ACCT00000074,28,12,Lending,2018-12-02,Active,21420.08,11
75,ACCT00000075,29,4,Deposit,2015-04-15,Active,4183.24,30
76,ACCT00000076,30,5,Deposit,2021-10-15,Dormant,2168.72,36
77,ACCT00000077,30,2,Deposit,2021-09-25,Active,5098.99,36
78,ACCT00000078,31,3,Deposit,2017-04-14,Active,7387.66,14
79,ACCT00000079,31,1,Deposit,2017-11-13,Active,2405.74,14
80,ACCT00000080,31,4,Deposit,2017-02-01,Active,6412.09,14
81,ACCT00000081,31,6,Lending,2017-04-07,Active,49178.87,14
82,ACCT00000082,32,4,Deposit,2024-11-26,Active,7351.23,4
83,ACCT00000083,32,5,Deposit,2024-05-11,Active,1817.25,4
84,ACCT00000084,32,1,Deposit,2024-04-19,Active,1362.31,4
85,ACCT00000085,32,11,Lending,2024-01-21,Active,11150.76,4
86,ACCT00000086,33,2,Deposit,2015-07-24,Active,12251.66,31
87,ACCT00000087,33,9,Lending,2015-05-11,Active,20968.8,31
88,ACCT00000088,34,1,Deposit,2023-07-08,Active,4420.5,33
89,ACCT00000089,34,5,Deposit,2023-03-08,Active,2174.49,33
90,ACCT00000090,35,4,Deposit,2017-11-16,Active,35197.63,5
91,ACCT00000091,35,4,Deposit,2017-09-11,Active,367.18,5
92,ACCT00000092,36,3,Deposit,2021-08-24,Active,5624.61,16
93,ACCT00000093,36,4,Deposit,2021-07-13,Active,4365.49,16
94,ACCT00000094,37,4,Deposit,2024-09-05,Active,6467.02,6
95,ACCT00000095,37,2,Deposit,2024-05-03,Active,23840.69,6
96,ACCT00000096,37,1,Deposit,2024-11-10,Dormant,5561.75,6
97,ACCT00000097,37,2,Deposit,2024-12-12,Closed,12320.51,6
98,ACCT00000098,38,2,Deposit,2024-10-02,Active,4081.55,21
99,ACCT00000099,39,3,Deposit,2018-07-25,Dormant,1492.9,21
100,ACCT00000100,40,3,Deposit,2019-07-05,Active,1058.29,20
101,ACCT00000101,40,4,Deposit,2019-01-25,Active,908.57,20
102,ACCT00000102,40,4,Deposit,2019-03-13,Active,34197.73,20
103,ACCT00000103,41,1,Deposit,2020-12-19,Active,862.4,1
104,ACCT00000104,41,5,Deposit,2020-12-26,Active,5980.08,1
105,ACCT00000105,41,1,Deposit,2020-08-17,Active,12533.7,1
106,ACCT00000106,41,4,Deposit,2020-02-17,Active,7303.98,1
107,ACCT00000107,42,3,Deposit,2024-03-16,Active,1989.11,5
108,ACCT00000108,42,5,Deposit,2024-08-14,Active,888.95,5
109,ACCT00000109,42,1,Deposit,2024-11-14,Active,15132.54,5
110,ACCT00000110,42,1,Deposit,2024-11-21,Active,21470.53,5
111,ACCT00000111,43,1,Deposit,2018-02-13,Active,8634.82,9
112,ACCT00000112,43,2,Deposit,2018-10-07,Active,5540.28,9
113,ACCT00000113,44,3,Deposit,2016-10-06,Active,3162.54,19
114,ACCT00000114,44,1,Deposit,2016-08-01,Active,12751.25,19
115,ACCT00000115,45,3,Deposit,2022-01-21,Active,2588.3,20
116,ACCT00000116,45,3,Deposit,2022-01-18,Active,1658.36,20
117,ACCT00000117,46,5,Deposit,2023-02-08,Active,46037.77,36
118,ACCT00000118,46,2,Deposit,2023-08-08,Active,200.86,36
119,ACCT00000119,46,6,Lending,2023-01-22,Active,26041.52,36
120,ACCT00000120,47,1,Deposit,2016-11-27,Active,7013.11,8
121,ACCT00000121,47,3,Deposit,2016-04-06,Active,29423.17,8
122,ACCT00000122,48,4,Deposit,2023-02-15,Active,6026.03,19
123,ACCT00000123,49,2,Deposit,2018-07-11,Active,1984.12,14
124,ACCT00000124,49,3,Deposit,2018-09-13,Active,14741.05,14
125,ACCT00000125,49,6,Lending,2018-10-10,Active,56121.5,14
126,ACCT00000126,50,4,Deposit,2023-01-26,Active,15572.32,4
127,ACCT00000127,50,5,Deposit,2023-05-17,Active,29832.94,4
128,ACCT00000128,51,3,Deposit,2021-01-06,Active,597.18,1
129,ACCT00000129,51,5,Deposit,2021-11-14,Active,6389.31,1
130,ACCT00000130,51,2,Deposit,2021-04-15,Active,1101.86,1
131,ACCT00000131,51,12,Lending,2021-07-24,Active,7287.32,1
132,ACCT00000132,52,5,Deposit,2017-12-20,Active,348.23,11
133,ACCT00000133,52,3,Deposit,2017-09-27,Active,38292.39,11
134,ACCT00000134,53,2,Deposit,2023-05-10,Active,6300.84,36
135,ACCT00000135,53,1,Deposit,2023-11-16,Active,14369.89,36
136,ACCT00000136,54,5,Deposit,2016-06-24,Active,1061.63,10
137,ACCT00000137,54,1,Deposit,2016-06-03,Active,1766.7,10
138,ACCT00000138,54,11,Lending,2016-02-08,Active,36812.68,10
139,ACCT00000139,54,10,Lending,2016-03-16,Active,9412.48,10
140,ACCT00000140,55,5,Deposit,2015-03-07,Active,973.91,36
141,ACCT00000141,55,5,Deposit,2015-08-25,Active,50557.08,36
142,ACCT00000142,55,6,Lending,2015-03-11,Active,11571.83,36
143,ACCT00000143,56,1,Deposit,2021-01-08,Active,4945.21,20
144,ACCT00000144,56,5,Deposit,2021-06-17,Active,5617.07,20
145,ACCT00000145,56,4,Deposit,2021-02-11,Active,15700.03,20
146,ACCT00000146,56,4,Deposit,2021-05-15,Active,2862.83,20
147,ACCT00000147,57,3,Deposit,2015-06-10,Active,22289.91,16
148,ACCT00000148,57,4,Deposit,2015-04-15,Active,553.38,16
149,ACCT00000149,57,1,Deposit,2015-11-05,Active,1665.36,16
150,ACCT00000150,57,6,Lending,2015-02-01,Active,22842.88,16
151,ACCT00000151,58,3,Deposit,2020-01-14,Active,893.96,27
152,ACCT00000152,58,3,Deposit,2020-12-26,Active,3460.76,27
153,ACCT00000153,59,5,Deposit,2017-12-04,Active,3818.49,12
154,ACCT00000154,59,1,Deposit,2017-09-07,Active,22591.81,12
155,ACCT00000155,60,1,Deposit,2015-10-04,Active,3939.6,22
156,ACCT00000156,60,1,Deposit,2015-01-08,Active,6129.39,22
157,ACCT00000157,60,12,Lending,2015-02-13,Active,1617.98,22
158,ACCT00000158,61,2,Deposit,2018-10-07,Active,2942.76,7
159,ACCT00000159,61,4,Deposit,2018-11-23,Active,12455.93,7
160,ACCT00000160,61,1,Deposit,2018-07-23,Active,17474.9,7
161,ACCT00000161,62,5,Deposit,2015-01-25,Active,20475.84,13
162,ACCT00000162,63,3,Deposit,2020-06-18,Active,4384.57,15
163,ACCT00000163,63,2,Deposit,2020-03-26,Active,1383.49,15
164,ACCT00000164,63,5,Deposit,2020-01-01,Active,15994.34,15
165,ACCT00000165,64,5,Deposit,2018-06-18,Active,2632.77,18
166,ACCT00000166,64,1,Deposit,2018-01-08,Active,6374.64,18
167,ACCT00000167,64,1,Deposit,2018-07-04,Active,11643.89,18
168,ACCT00000168,64,5,Deposit,2018-02-15,Active,2571.68,18
169,ACCT00000169,65,4,Deposit,2019-06-02,Active,1453.64,33
170,ACCT00000170,65,5,Deposit,2019-04-17,Active,6603.96,33
171,ACCT00000171,66,1,Deposit,2023-06-08,Active,1810.78,8
172,ACCT00000172,66,2,Deposit,2023-10-03,Active,23682.4,8
173,ACCT00000173,66,3,Deposit,2023-09-06,Active,18765.78,8
174,ACCT00000174,66,1,Deposit,2023-02-15,Active,2369.57,8
175,ACCT00000175,67,4,Deposit,2017-03-10,Active,9588.49,3
176,ACCT00000176,68,1,Deposit,2024-04-23,Active,7304.6,21
177,ACCT00000177,68,2,Deposit,2024-04-26,Active,3681.61,21
178,ACCT00000178,68,11,Lending,2024-08-01,Active,94277.66,21
179,ACCT00000179,69,3,Deposit,2024-01-03,Active,1786.68,25
180,ACCT00000180,69,1,Deposit,2024-05-21,Active,11444.49,25
181,ACCT00000181,69,7,Lending,2024-11-25,Active,23845.81,25
182,ACCT00000182,70,1,Deposit,2018-11-18,Active,29074.41,28
183,ACCT00000183,70,4,Deposit,2018-08-11,Active,12572.77,28
184,ACCT00000184,70,1,Deposit,2018-11-04,Active,2190.66,28
185,ACCT00000185,70,8,Lending,2018-07-01,Active,5883.74,28
186,ACCT00000186,71,3,Deposit,2023-11-06,Active,23671.2,13
187,ACCT00000187,72,5,Deposit,2021-04-25,Active,1523.6,22
188,ACCT00000188,72,5,Deposit,2021-08-16,Active,121199.1,22
189,ACCT00000189,73,1,Deposit,2020-09-11,Active,41212.42,20
190,ACCT00000190,73,2,Deposit,2020-05-23,Active,3662.1,20
191,ACCT00000191,73,3,Deposit,2020-07-17,Active,7016.8,20
192,ACCT00000192,74,5,Deposit,2019-06-26,Active,6803.25,21
193,ACCT00000193,74,1,Deposit,2019-02-10,Active,24527.74,21
194,ACCT00000194,75,2,Deposit,2019-02-08,Active,9021.59,13
195,ACCT00000195,75,3,Deposit,2019-03-11,Dormant,1851.21,13
196,ACCT00000196,75,5,Deposit,2019-09-26,Active,1139.61,13
197,ACCT00000197,75,4,Deposit,2019-10-15,Active,5494.15,13
198,ACCT00000198,75,7,Lending,2019-09-16,Active,9894.81,13
199,ACCT00000199,75,12,Lending,2019-11-24,Active,42786.14,13
200,ACCT00000200,76,4,Deposit,2021-02-01,Active,5189.82,12
201,ACCT00000201,76,2,Deposit,2021-06-10,Active,4423.86,12
202,ACCT00000202,76,2,Deposit,2021-11-24,Dormant,25013.58,12
203,ACCT00000203,77,4,Deposit,2024-09-11,Active,751.88,36
204,ACCT00000204,77,3,Deposit,2024-07-01,Active,8868.97,36
205,ACCT00000205,77,3,Deposit,2024-12-15,Active,18022.96,36
206,ACCT00000206,78,2,Deposit,2019-09-11,Active,1369.39,28
207,ACCT00000207,78,2,Deposit,2019-04-06,Active,5149.55,28
208,ACCT00000208,79,2,Deposit,2024-01-02,Active,564.29,30
209,ACCT00000209,79,3,Deposit,2024-12-27,Active,17427.61,30
210,ACCT00000210,80,5,Deposit,2022-02-23,Active,12784.78,33
211,ACCT00000211,80,4,Deposit,2022-02-05,Active,8324.61,33
212,ACCT00000212,80,11,Lending,2022-06-22,Active,18241.51,33
213,ACCT00000213,81,5,Deposit,2017-06-01,Active,15072.93,19
214,ACCT00000214,81,2,Deposit,2017-03-04,Active,4336.55,19
215,ACCT00000215,81,1,Deposit,2017-01-06,Active,67258.99,19
216,ACCT00000216,82,1,Deposit,2024-01-26,Active,3193.19,16
217,ACCT00000217,82,3,Deposit,2024-07-20,Active,1334.55,16
218,ACCT00000218,83,4,Deposit,2018-07-24,Active,1037.29,10
219,ACCT00000219,84,3,Deposit,2015-12-07,Active,7617.92,40
220,ACCT00000220,84,5,Deposit,2015-08-25,Active,3049.73,40
221,ACCT00000221,84,1,Deposit,2015-11-19,Active,17884.97,40
222,ACCT00000222,84,4,Deposit,2015-06-27,Closed,1240.67,40
223,ACCT00000223,85,2,Deposit,2022-10-14,Active,5597.59,37
224,ACCT00000224,85,3,Deposit,2022-08-19,Active,12982.16,37
225,ACCT00000225,86,2,Deposit,2021-09-01,Active,3300.5,16
226,ACCT00000226,87,3,Deposit,2015-12-01,Active,691.32,28
227,ACCT00000227,87,3,Deposit,2015-01-12,Active,5899.25,28
228,ACCT00000228,87,5,Deposit,2015-01-07,Active,14385.47,28
229,ACCT00000229,87,12,Lending,2015-04-06,Active,5066.94,28
230,ACCT00000230,88,2,Deposit,2017-04-23,Active,559.54,34
231,ACCT00000231,88,2,Deposit,2017-07-07,Active,4368.33,34
232,ACCT00000232,89,3,Deposit,2015-11-04,Active,4666.16,8
233,ACCT00000233,89,2,Deposit,2015-05-19,Active,11893.59,8
234,ACCT00000234,90,4,Deposit,2017-02-23,Closed,6883.34,34
235,ACCT00000235,90,2,Deposit,2017-11-09,Active,2819.72,34
236,ACCT00000236,91,3,Deposit,2024-06-09,Active,605.49,40
237,ACCT00000237,91,3,Deposit,2024-05-14,Active,3185.49,40
238,ACCT00000238,92,4,Deposit,2021-05-01,Active,1242.45,11
239,ACCT00000239,92,2,Deposit,2021-07-18,Active,1188.73,11
240,ACCT00000240,93,5,Deposit,2022-09-02,Active,3154.55,18
241,ACCT00000241,93,4,Deposit,2022-08-26,Active,10830.85,18
242,ACCT00000242,93,12,Lending,2022-03-19,Active,45904.34,18
243,ACCT00000243,94,2,Deposit,2022-03-04,Active,3701.08,18
244,ACCT00000244,94,5,Deposit,2022-07-08,Active,8726.04,18
245,ACCT00000245,94,3,Deposit,2022-10-18,Active,4923.13,18
246,ACCT00000246,94,7,Lending,2022-06-14,Active,15677.42,18
247,ACCT00000247,95,3,Deposit,2016-11-24,Active,10873.9,16
248,ACCT00000248,95,1,Deposit,2016-01-07,Active,2164.42,16
249,ACCT00000249,96,2,Deposit,2020-09-09,Active,1368.09,6
250,ACCT00000250,96,3,Deposit,2020-01-14,Active,2518.37,6
251,ACCT00000251,97,1,Deposit,2017-08-09,Active,12263.93,10
252,ACCT00000252,97,2,Deposit,2017-05-20,Active,30540.03,10
253,ACCT00000253,97,11,Lending,2017-05-15,Closed,10033.47,10
254,ACCT00000254,98,3,Deposit,2016-03-10,Active,7325.01,22
255,ACCT00000255,98,5,Deposit,2016-07-14,Active,46523.69,22
256,ACCT00000256,99,3,Deposit,2022-07-06,Active,14127.06,14
257,ACCT00000257,99,4,Deposit,2022-04-08,Active,6039.42,14
258,ACCT00000258,100,4,Deposit,2021-07-16,Active,13862.32,2
259,ACCT00000259,100,7,Lending,2021-05-12,Active,22366.5,2
260,ACCT00000260,101,2,Deposit,2021-02-15,Active,5564.36,23
261,ACCT00000261,101,3,Deposit,2021-01-07,Active,16209.95,23
262,ACCT00000262,101,8,Lending,2021-02-14,Active,17753.24,23
263,ACCT00000263,102,5,Deposit,2021-04-22,Active,2695.16,35
264,ACCT00000264,102,1,Deposit,2021-06-15,Active,2571.65,35
265,ACCT00000265,103,1,Deposit,2018-02-12,Active,7199.76,18
266,ACCT00000266,103,5,Deposit,2018-11-11,Active,2711.76,18
267,ACCT00000267,103,4,Deposit,2018-11-13,Active,2666.0,18
268,ACCT00000268,103,5,Deposit,2018-09-25,Active,7205.31,18
269,ACCT00000269,104,3,Deposit,2022-01-08,Active,19928.03,22
270,ACCT00000270,104,1,Deposit,2022-01-23,Active,314.44,22
271,ACCT00000271,104,3,Deposit,2022-03-18,Dormant,11520.91,22
272,ACCT00000272,105,5,Deposit,2017-07-19,Active,3718.92,40
273,ACCT00000273,105,3,Deposit,2017-02-17,Active,3474.19,40
274,ACCT00000274,105,2,Deposit,2017-11-17,Active,637.13,40
275,ACCT00000275,105,12,Lending,2017-03-03,Active,7154.15,40
276,ACCT00000276,106,3,Deposit,2015-09-09,Active,503.52,37
277,ACCT00000277,106,9,Lending,2015-05-26,Active,14933.48,37
278,ACCT00000278,107,1,Deposit,2016-10-01,Active,5815.38,9
279,ACCT00000279,107,3,Deposit,2016-07-01,Active,12751.16,9
280,ACCT00000280,108,5,Deposit,2017-03-09,Active,38346.98,25
281,ACCT00000281,108,5,Deposit,2017-06-26,Active,4378.81,25
282,ACCT00000282,108,10,Lending,2017-11-15,Active,48084.26,25
283,ACCT00000283,109,1,Deposit,2018-03-14,Active,10649.72,22
284,ACCT00000284,109,3,Deposit,2018-10-12,Active,21643.79,22
285,ACCT00000285,109,9,Lending,2018-09-11,Active,73383.44,22
286,ACCT00000286,109,10,Lending,2018-08-21,Closed,77952.9,22
287,ACCT00000287,110,4,Deposit,2019-01-12,Active,22064.97,17
288,ACCT00000288,110,4,Deposit,2019-05-25,Active,4640.71,17
289,ACCT00000289,111,2,Deposit,2022-07-10,Active,15289.43,35
290,ACCT00000290,111,1,Deposit,2022-09-22,Active,11152.25,35
291,ACCT00000291,111,7,Lending,2022-11-19,Active,5873.04,35
292,ACCT00000292,112,5,Deposit,2020-12-05,Active,874.28,5
293,ACCT00000293,113,4,Deposit,2015-12-09,Dormant,2539.75,2
294,ACCT00000294,113,2,Deposit,2015-05-11,Active,7002.74,2
295,ACCT00000295,113,3,Deposit,2015-01-02,Active,9944.49,2
296,ACCT00000296,113,10,Lending,2015-11-01,Active,42182.77,2
297,ACCT00000297,114,2,Deposit,2017-03-04,Active,5541.34,31
298,ACCT00000298,114,2,Deposit,2017-04-09,Active,2389.41,31
299,ACCT00000299,114,4,Deposit,2017-10-03,Active,2451.22,31
300,ACCT00000300,114,9,Lending,2017-07-18,Active,44247.99,31
301,ACCT00000301,115,5,Deposit,2024-08-04,Active,5283.4,17
302,ACCT00000302,115,1,Deposit,2024-09-25,Active,2215.14,17
303,ACCT00000303,116,3,Deposit,2017-07-16,Closed,1148.68,8
304,ACCT00000304,116,3,Deposit,2017-05-14,Active,576.37,8
305,ACCT00000305,116,5,Deposit,2017-09-26,Active,522.79,8
306,ACCT00000306,116,11,Lending,2017-02-09,Active,27647.04,8
307,ACCT00000307,117,1,Deposit,2019-11-21,Dormant,662.62,2
308,ACCT00000308,118,1,Deposit,2024-10-06,Active,2453.38,26
309,ACCT00000309,118,5,Deposit,2024-02-08,Active,10682.3,26
310,ACCT00000310,118,4,Deposit,2024-09-14,Active,1733.14,26
311,ACCT00000311,118,10,Lending,2024-06-15,Active,38517.1,26
312,ACCT00000312,118,8,Lending,2024-01-18,Dormant,39890.8,26
313,ACCT00000313,119,4,Deposit,2016-11-19,Active,2539.57,16
314,ACCT00000314,120,3,Deposit,2019-01-06,Active,1246.72,8
315,ACCT00000315,120,4,Deposit,2019-10-01,Active,20621.16,8
316,ACCT00000316,120,4,Deposit,2019-02-27,Active,11139.04,8
317,ACCT00000317,121,2,Deposit,2015-11-11,Active,10596.53,28
318,ACCT00000318,121,2,Deposit,2015-05-01,Active,5889.09,28
319,ACCT00000319,122,1,Deposit,2016-03-11,Active,9578.74,22
320,ACCT00000320,122,5,Deposit,2016-09-16,Active,729.76,22
321,ACCT00000321,122,4,Deposit,2016-04-07,Active,6479.12,22
322,ACCT00000322,123,2,Deposit,2021-02-05,Active,13503.99,28
323,ACCT00000323,123,1,Deposit,2021-09-22,Active,481.64,28
324,ACCT00000324,123,2,Deposit,2021-08-26,Dormant,4057.99,28
325,ACCT00000325,123,6,Lending,2021-09-11,Active,34899.17,28
326,ACCT00000326,124,2,Deposit,2022-02-17,Active,36838.17,28
327,ACCT00000327,124,4,Deposit,2022-10-13,Active,1801.6,28
328,ACCT00000328,124,8,Lending,2022-08-08,Active,42209.15,28
329,ACCT00000329,124,11,Lending,2022-01-20,Active,16429.73,28
330,ACCT00000330,125,4,Deposit,2023-04-02,Active,10308.52,40
331,ACCT00000331,125,5,Deposit,2023-05-26,Active,570.85,40
332,ACCT00000332,126,5,Deposit,2022-12-22,Dormant,3183.17,38
333,ACCT00000333,126,4,Deposit,2022-03-11,Active,22274.68,38
334,ACCT00000334,126,3,Deposit,2022-04-11,Active,2096.44,38
335,ACCT00000335,126,7,Lending,2022-01-07,Active,8920.87,38
336,ACCT00000336,127,5,Deposit,2020-09-05,Active,1354.67,18
337,ACCT00000337,127,5,Deposit,2020-10-25,Active,44210.44,18
338,ACCT00000338,127,4,Deposit,2020-06-12,Active,4649.21,18
339,ACCT00000339,127,9,Lending,2020-11-08,Active,22953.24,18
340,ACCT00000340,128,3,Deposit,2018-12-20,Active,4422.0,37
341,ACCT00000341,128,5,Deposit,2018-01-21,Active,1311.75,37
342,ACCT00000342,128,5,Deposit,2018-08-20,Active,22668.91,37
343,ACCT00000343,128,5,Deposit,2018-07-25,Active,14141.46,37
344,ACCT00000344,129,3,Deposit,2021-09-23,Active,2159.29,32
345,ACCT00000345,129,2,Deposit,2021-04-17,Active,2482.86,32
346,ACCT00000346,129,5,Deposit,2021-06-16,Active,634.09,32
347,ACCT00000347,130,2,Deposit,2017-04-27,Active,11285.14,23
348,ACCT00000348,130,2,Deposit,2017-04-15,Active,16256.9,23
349,ACCT00000349,130,3,Deposit,2017-07-02,Active,866.65,23
350,ACCT00000350,131,1,Deposit,2020-04-08,Active,1330.66,18
351,ACCT00000351,131,3,Deposit,2020-06-09,Dormant,10064.95,18
352,ACCT00000352,131,2,Deposit,2020-07-07,Active,1498.44,18
353,ACCT00000353,131,12,Lending,2020-10-01,Active,53589.25,18
354,ACCT00000354,132,4,Deposit,2015-05-10,Active,1752.49,6
355,ACCT00000355,132,2,Deposit,2015-06-06,Active,6909.85,6
356,ACCT00000356,132,12,Lending,2015-07-02,Dormant,41202.22,6
357,ACCT00000357,133,1,Deposit,2021-06-24,Active,164133.47,16
358,ACCT00000358,133,3,Deposit,2021-02-23,Active,100345.48,16
359,ACCT00000359,133,7,Lending,2021-08-17,Active,8396.85,16
360,ACCT00000360,134,5,Deposit,2022-06-07,Active,17249.66,6
361,ACCT00000361,134,4,Deposit,2022-04-13,Active,5703.95,6
362,ACCT00000362,134,5,Deposit,2022-02-27,Active,19762.59,6
363,ACCT00000363,134,7,Lending,2022-12-17,Dormant,13624.14,6
364,ACCT00000364,135,2,Deposit,2018-02-02,Active,3190.07,16
365,ACCT00000365,135,3,Deposit,2018-03-01,Active,31953.68,16
366,ACCT00000366,135,1,Deposit,2018-06-01,Active,26553.17,16
367,ACCT00000367,136,4,Deposit,2024-10-01,Active,1423.32,36
368,ACCT00000368,136,3,Deposit,2024-07-25,Dormant,3318.79,36
369,ACCT00000369,137,5,Deposit,2020-04-19,Active,706.64,36
370,ACCT00000370,137,3,Deposit,2020-06-26,Active,7487.95,36
371,ACCT00000371,138,1,Deposit,2020-04-07,Active,17119.0,18
372,ACCT00000372,138,1,Deposit,2020-07-09,Active,3485.89,18
373,ACCT00000373,139,2,Deposit,2019-11-16,Active,2674.02,13
374,ACCT00000374,139,4,Deposit,2019-12-20,Active,13541.18,13
375,ACCT00000375,140,4,Deposit,2016-02-24,Active,2379.31,12
376,ACCT00000376,140,1,Deposit,2016-07-14,Active,1337.95,12
377,ACCT00000377,140,3,Deposit,2016-04-04,Active,4425.28,12
378,ACCT00000378,141,4,Deposit,2018-04-18,Active,5559.36,18
379,ACCT00000379,141,5,Deposit,2018-04-08,Active,1495.23,18
380,ACCT00000380,142,1,Deposit,2023-03-21,Active,3869.96,7
381,ACCT00000381,142,4,Deposit,2023-08-04,Active,13142.7,7
382,ACCT00000382,143,2,Deposit,2019-09-13,Active,6610.64,12
383,ACCT00000383,143,5,Deposit,2019-03-08,Active,6215.4,12
384,ACCT00000384,144,2,Deposit,2015-09-16,Active,2909.32,9
385,ACCT00000385,144,5,Deposit,2015-07-24,Active,12696.78,9
386,ACCT00000386,144,2,Deposit,2015-09-08,Active,2902.12,9
387,ACCT00000387,144,10,Lending,2015-05-21,Closed,41866.03,9
